#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-03T15:28:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ551ead82562d	
#INFO	-out.max=99999	
#INFO	queryParameters=14	
#-oc.form=sexa
#-out.max=99999
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-out=Name
#-out=Type
#-out=size
#-out=mag
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(A7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Object classification (1)	[ucd=src.class]
#Column	size	(F5.1)	? Largest dimension	[ucd=phys.angSize]
#Column	mag	(F4.1)	? Integrated magnitude, visual or photographic (see n_mag)	[ucd=phot.mag;em.opt]
_RAJ2000	_DEJ2000	Name	Type	size	mag
06 01 00.0	-67 43 00	 2177	 OC	     	
06 01 06.1	-23 40 00	 2139	 Gx	  2.2	11.7
06 01 06.1	-23 40 00	I2154	 Gx	  3.3	
06 01 24.0	-66 51 00	 2176	 OC	     	
06 01 54.1	-10 36 00	 2142	  -	     	
06 02 36.0	-65 15 00	 2181	 OC	     	
06 02 42.1	-12 30 00	I 441	 Gx	  1.1	14.0
06 02 48.0	-63 46 00	 2178	 Gx	  1.0	
06 03 00.0	+49 54 00	 2126	 OC	  6.0	10.0
06 03 00.1	+05 43 00	 2143	  -	     	
06 03 06.1	+10 26 00	 2141	 OC	 10.0	 9.4
06 03 30.1	-09 44 00	 2149	 Nb	  3.0	
06 03 54.0	-69 34 00	 2187	 Gx	     	
06 04 42.0	+57 39 00	 2128	 Gx	     	13.0
06 04 42.0	-73 24 00	 2199	 Gx	     	
06 04 42.0	-75 26 00	 2203	 OC	     	
06 04 48.1	+24 09 00	I2156	 OC	     	
06 05 00.1	+24 00 00	I2157	 OC	  7.0	 8.4
06 05 18.1	-27 51 00	I2158	 Gx	  1.6	
06 05 54.0	-67 05 00	 2197	 OC	     	
06 06 12.0	-65 05 00	 2193	 Gb	     	
06 06 54.1	-06 12 00	 2167	  -	     	
06 06 54.0	-75 22 00	I2164	 Gx	  1.3	
06 07 30.1	+24 06 00	 2158	 OC	  5.0	 8.6
06 07 30.1	-06 24 00	 2170	 Nb	  2.0	
06 07 48.1	+18 40 00	 2163	   	     	
06 08 00.1	-21 45 00	 2179	 Gx	  1.5	12.5
06 08 24.1	+13 57 00	 2169	 OC	  7.0	 5.9
06 08 24.0	-52 31 00	 2191	 Gx	  1.9	
06 08 42.0	-73 51 00	 2209	 Gb	     	
06 08 54.1	+24 20 00	 2168	 OC	 28.0	 5.1
06 09 30.1	-06 20 00	 2182	 Nb	  3.0	
06 09 36.1	+04 43 00	 2180	  -	     	
06 09 42.1	+20 30 00	 2174	 Nb	 40.0	
06 09 48.1	+20 19 00	 2175	 OC	 18.0	 6.8
06 09 54.1	+20 24 00	I2159	 Nb	     	
06 10 06.1	-34 06 00	 2188	 Gx	  3.7	11.8
06 10 36.0	-62 32 00	 2205	 Gx	  1.4	
06 10 42.0	-71 33 00	 2213	 Gb	     	
06 10 48.1	-06 13 00	 2183	 Nb	  1.0	
06 10 54.1	-03 31 00	 2184	 OC	     	
06 11 06.0	+51 41 00	 2165	  -	     	
06 11 06.1	-06 13 00	 2185	 Nb	  3.0	
06 11 30.0	-69 08 00	 2210	 Gb	  1.7	10.2
06 12 12.1	+05 27 00	 2186	 OC	  4.0	 8.7
06 12 12.1	-21 48 00	 2196	 Gx	  2.8	11.2
06 12 18.1	+01 08 00	 2189	  -	     	
06 12 48.0	-68 16 00	 2214	 OC	     	11.0
06 12 54.1	+17 59 00	I2162	 Nb	 15.0	
06 13 24.0	-43 39 00	 2200	 Gx	     	
06 13 24.0	-43 41 00	 2201	 Gx	     	
06 13 48.1	+12 48 00	 2194	 OC	 10.0	 8.5
06 13 54.1	+01 00 00	 2198	  -	     	
06 14 24.1	+17 39 00	 2195	 Nb	     	
06 15 12.0	+39 51 00	 2192	 OC	  6.0	11.0
06 15 42.1	-18 39 00	 2204	 OC	 13.0	 8.6
06 16 00.1	-26 46 00	 2206	 Gx	  2.3	13.0
06 16 24.1	-21 22 00	 2207	 Gx	  4.3	10.7
06 16 30.1	-21 23 00	I2163	 Gx	     	
06 16 54.1	+05 59 00	 2202	  -	     	
06 16 54.1	+22 47 00	I 443	 Nb	 50.0	
06 18 24.1	-18 34 00	 2211	 Gx	     	14.0
06 18 30.1	-18 33 00	 2212	 Gx	     	14.0
06 18 42.0	+78 21 00	 2146	 Gx	  6.0	10.5
06 18 53.9	+80 04 00	I 440	 Gx	  2.1	14.0
06 20 12.0	-57 35 00	 2221	 Gx	  1.5	
06 20 18.0	-57 32 00	 2222	 Gx	  1.1	
06 20 24.0	-67 32 00	 2231	 Gb	     	
06 20 24.1	+23 16 00	I 444	 Nb	  8.0	
06 21 00.1	-07 17 00	 2215	 OC	 11.0	 8.4
06 21 12.0	-64 27 00	 2228	 Gx	     	
06 21 18.0	-64 58 00	 2229	 Gx	     	
06 21 24.0	-65 00 00	 2230	 Gx	     	
06 21 36.1	-22 05 00	 2216	 Gx	     	14.0
06 21 42.1	-27 14 00	 2217	 Gx	  4.8	10.4
06 21 42.0	-65 03 00	 2233	 Gx	     	
06 21 42.1	-12 59 00	I2165	 Pl	  0.1	13.0
06 21 48.0	-44 46 00	 2220	Ast	     	
06 22 18.0	-64 57 00	 2235	 Gx	     	
06 22 30.0	+51 55 00	 2208	 Gx	     	14.0
06 22 42.0	-68 57 00	 2241	 OC	     	
06 23 24.1	-04 41 00	 2219	  -	     	
06 24 36.1	-22 50 00	 2223	 Gx	  3.3	11.4
06 24 42.1	+19 20 00	 2218	  -	     	
06 25 54.1	-21 59 00	 2227	 Gx	  2.3	14.0
06 25 54.0	-68 48 00	 2249	 Gb	     	
06 26 36.1	-09 39 00	 2225	 OC	     	
06 26 36.1	-04 45 00	 2232	 OC	 30.0	 3.9
06 26 42.1	-09 39 00	 2226	  -	     	
06 27 00.0	+59 05 00	I2166	 Gx	  2.9	13.0
06 27 36.1	+12 38 00	 2224	  -	     	
06 29 18.1	+16 41 00	 2234	  -	     	
06 29 42.1	+06 50 00	 2236	 OC	  7.0	 8.5
06 29 48.1	-31 17 00	 2243	 OC	  5.0	 9.4
06 30 18.1	+05 03 00	 2237	 Nb	     	
06 30 24.0	-64 19 00	 2257	 Gb	  3.4	13.5
06 30 36.1	+05 01 00	 2238	C+N	     	
06 31 00.1	+04 57 00	 2239	 OC	 16.0	
06 31 00.1	+10 27 00	I 446	 Nb	  5.0	
06 31 12.1	+10 02 00	I 447	   	     	
06 31 12.1	+09 54 00	I2169	 Nb	 25.0	
06 31 18.1	+10 27 00	I2167	   	     	
06 32 24.1	+04 52 00	 2244	 OC	 24.0	 4.8
06 32 24.1	+05 07 00	 2246	 Nb	     	
06 32 42.1	+10 10 00	 2245	 Nb	  5.0	
06 32 42.1	+07 19 00	I 448	 Nb	 15.0	
06 32 48.1	-05 02 00	 2250	 OC	  8.0	 9.0
06 32 54.0	+35 12 00	 2240	  -	     	
06 33 12.1	+10 20 00	 2247	 Nb	  4.0	
06 33 48.0	+44 41 00	I2168	 OC	     	
06 34 00.0	+44 46 00	 2242	 Pl	     	14.0
06 34 00.0	-34 47 00	 2255	 Gx	     	
06 34 06.0	+44 42 00	I2170	   	     	
06 34 36.1	+26 19 00	 2248	  -	     	
06 34 42.1	+08 22 00	 2251	 OC	 10.0	 7.3
06 35 00.1	+05 23 00	 2252	 OC	 20.0	 8.0
06 36 00.1	+07 40 00	 2254	 OC	  4.0	 9.7
06 36 29.9	+82 58 00	I 442	 Gx	  1.4	14.0
06 37 18.0	+67 51 00	I 445	 Gx	  1.2	14.0
06 38 06.1	-01 28 00	 2260	  -	     	
06 38 24.1	+01 11 00	 2262	 OC	  4.0	11.0
06 38 24.1	-24 49 00	 2263	 Gx	     	13.0
06 38 36.1	+10 53 00	 2259	 OC	  5.0	11.0
06 39 12.1	+08 44 00	 2261	 Nb	  2.0	
06 40 48.1	-32 29 00	 2267	 Gx	     	14.0
06 41 06.1	+09 53 00	 2264	C+N	 60.0	 3.9
06 41 30.1	+11 56 00	 2265	  -	     	
06 42 24.0	+66 20 00	 2253	 OC	     	
06 42 42.1	-27 27 00	 2272	 Gx	  2.1	11.9
06 42 48.1	-23 28 00	 2271	 Gx	     	14.0
06 43 12.1	+26 58 00	 2266	 OC	  7.0	10.0
06 43 54.1	+04 34 00	 2269	 OC	  4.0	10.0
06 43 54.1	+03 26 00	 2270	  -	     	
06 44 24.0	-63 43 00	 2297	 Gx	  1.6	
06 44 24.1	-17 56 00	I2171	 Gx	  1.8	
06 44 48.1	-27 38 00	 2280	 Gx	  5.6	12.0
06 45 42.0	+71 21 00	I 449	 Gx	  2.0	
06 45 54.1	-18 14 00	 2283	 Gx	     	13.0
06 46 54.1	+01 19 00	 2282	 Nb	  3.0	
06 46 54.1	+01 20 00	I2172	   	     	
06 47 00.1	-20 44 00	 2287	 OC	 38.0	 4.5
06 47 12.0	+74 14 00	 2256	 Gx	  2.6	14.0
06 47 12.1	+33 34 00	 2274	 Gx	     	13.0
06 47 12.1	+33 36 00	 2275	 Gx	     	14.0
06 47 18.1	-26 44 00	 2295	 Gx	     	14.0
06 47 36.1	-03 10 00	 2286	 OC	 15.0	 7.5
06 47 36.1	-26 45 00	 2292	 Gx	     	14.0
06 47 42.1	-26 45 00	 2293	 Gx	     	13.0
06 47 48.0	+74 29 00	 2258	 Gx	  2.6	13.0
06 47 48.1	+33 26 00	 2277	  -	     	
06 48 18.1	+33 24 00	 2278	  -	     	
06 48 24.1	+33 24 00	 2279	  -	     	
06 48 36.1	-16 55 00	 2296	 Gx	     	13.0
06 48 36.0	-64 16 00	 2305	 Gx	  2.0	
06 48 36.1	-16 54 00	I 452	 Gx	     	
06 48 48.0	-64 20 00	 2307	 Gx	  1.6	
06 49 00.0	-36 00 00	 2298	 Gb	  6.8	 9.4
06 49 06.1	+33 13 00	 2284	  -	     	
06 49 06.1	-17 02 00	I 453	  *	     	
06 49 18.0	+41 04 00	 2281	 OC	 15.0	 5.4
06 49 24.1	+33 21 00	 2285	  -	     	
06 50 06.0	+60 51 00	 2273	 Gx	  3.5	12.0
06 50 42.1	+33 26 00	 2288	 Gx	     	14.0
06 50 42.1	+33 27 00	 2289	 Gx	     	15.0
06 50 48.1	+33 26 00	I2173	   	     	
06 51 00.1	+33 26 00	 2290	 Gx	  1.5	15.0
06 51 00.1	+33 32 00	 2291	 Gx	  1.3	16.0
06 51 06.1	-07 00 00	 2299	  -	     	
06 51 06.1	+12 54 00	I 454	   	     	
06 51 12.1	+33 32 00	 2294	 Gx	  1.1	15.0
06 51 48.1	+00 28 00	 2301	 OC	 12.0	 6.0
06 51 54.1	-07 04 00	 2302	 OC	  3.0	 8.9
06 52 12.0	+74 26 00	I 450	 Gx	  1.3	
06 52 54.0	+74 29 00	I 451	 Gx	  1.6	
06 54 00.0	-40 52 00	 2310	 Gx	  5.0	12.0
06 54 36.1	-07 11 00	 2306	  -	     	
06 55 00.1	+18 01 00	 2304	 OC	  5.0	10.0
06 56 12.0	+45 30 00	 2303	 Gx	     	14.0
06 56 12.1	-07 12 00	 2309	 OC	  3.0	11.0
06 57 48.1	-04 35 00	 2311	 OC	  7.0	10.0
06 58 00.1	-07 57 00	 2313	 Nb	     	
06 58 36.0	+45 13 00	 2308	 Gx	     	14.0
06 58 48.1	+10 16 00	 2312	  -	     	
06 58 48.1	-07 46 00	 2317	  -	     	
06 59 30.1	-13 42 00	 2318	 OC	     	
06 59 42.1	-07 46 00	 2316	 Nb	  4.0	
06 59 42.0	+35 17 00	I2175	   	     	
07 00 18.1	-30 10 00	I 456	 Gx	  2.3	
07 01 06.1	+03 04 00	 2319	  -	     	
07 02 30.0	+50 36 00	 2315	 Gx	     	14.0
07 02 30.0	-42 03 00	 2328	 Gx	     	
07 02 42.1	-28 42 00	 2325	 Gx	  2.3	11.2
07 03 06.0	-67 23 00	 2348	   	     	
07 03 12.1	-08 20 00	 2323	 OC	 16.0	 5.9
07 04 12.1	+01 03 00	 2324	 OC	  8.0	 8.4
07 04 18.1	-11 18 00	 2327	 Nb	     	
07 05 06.1	-10 42 00	I2177	 Nb	120.0	
07 05 36.0	+50 36 00	 2320	 Gx	     	14.0
07 05 54.0	+50 46 00	 2321	 Gx	     	15.0
07 05 54.0	+50 31 00	 2322	 Gx	     	14.0
07 06 36.1	-10 05 00	 2335	 OC	 12.0	 7.2
07 07 12.1	+27 21 00	 2331	 OC	 18.0	 9.0
07 07 30.1	+32 28 00	I2176	 Gx	  0.4	15.0
07 07 36.1	+32 31 00	I2178	 Gx	     	16.0
07 07 42.1	-05 37 00	 2338	Ast	     	
07 08 18.1	+18 47 00	 2339	 Gx	  2.8	11.6
07 08 18.1	-10 39 00	 2343	 OC	  7.0	 6.7
07 08 18.1	-13 10 00	 2345	 OC	 12.0	 7.7
07 08 24.0	+50 44 00	 2326	 Gx	     	14.0
07 08 24.0	+35 11 00	 2333	 Gx	     	14.0
07 08 36.1	-04 19 00	I 466	 Nb	  1.0	
07 09 06.0	+75 21 00	I2174	 Gx	  1.2	
07 09 12.0	+48 37 00	 2329	 Gx	  1.6	14.0
07 09 18.1	+20 35 00	 2341	 Gx	  1.1	14.0
07 09 24.1	+20 38 00	 2342	 Gx	  1.6	13.0
07 09 24.1	-00 48 00	 2346	 Pl	  0.9	
07 09 24.0	+50 09 00	I 457	 Gx	  0.3	16.0
07 09 30.0	+50 12 00	 2330	 Gx	     	14.0
07 09 30.0	+50 11 00	 2332	 Gx	     	14.0
07 09 54.0	+50 12 00	 2334	  -	     	
07 10 00.1	-08 37 00	 2349	  -	     	
07 10 12.0	+44 27 00	 2337	 Gx	  2.6	13.0
07 10 30.0	+75 20 00	 2314	 Gx	  2.1	11.9
07 10 30.0	+50 06 00	I 458	 Gx	  1.0	14.0
07 10 36.0	+50 11 00	I 459	   	     	
07 10 42.0	+50 13 00	I 460	 Gx	  0.4	16.0
07 10 42.0	+50 05 00	I 461	 Gx	  0.6	16.0
07 10 54.0	+50 08 00	I 463	 Gx	     	15.0
07 11 00.0	+50 10 00	 2340	 Gx	     	14.0
07 11 00.0	+50 11 00	I 462	   	     	
07 11 00.0	+50 09 00	I 464	 Gx	  0.6	15.0
07 11 18.1	+26 23 00	I2180	 Gx	  1.2	15.0
07 11 30.0	+50 15 00	I 465	 Gx	  0.8	15.0
07 12 30.0	+47 10 00	 2344	 Gx	  2.0	12.1
07 13 12.1	+12 15 00	 2350	 Gx	     	14.0
07 13 12.1	+19 00 00	I2181	 Gx	  1.0	15.0
07 13 30.1	-10 29 00	 2351	   	     	
07 13 36.1	-24 06 00	 2352	  -	     	
07 13 59.8	+84 23 00	 2268	 Gx	  3.4	11.5
07 14 12.1	+18 57 00	I2182	   	     	
07 14 18.1	-25 44 00	 2354	 OC	 20.0	 6.5
07 14 36.1	-10 18 00	 2353	 OC	 20.0	 7.1
07 15 30.0	+64 56 00	I2179	 Gx	  1.0	12.6
07 16 06.0	+64 43 00	 2347	 Gx	  2.0	12.5
07 16 36.0	-62 21 00	 2369	 Gx	  4.6	13.0
07 16 48.1	-17 03 00	 2358	  -	     	
07 16 54.1	+13 47 00	 2355	 OC	  9.0	10.0
07 16 54.1	-20 25 00	I2183	   	     	
07 17 06.1	+13 58 00	 2356	  -	     	
07 17 30.1	-13 09 00	I 468	 Nb	 20.0	
07 17 36.1	+23 22 00	 2357	 Gx	  4.5	14.0
07 17 48.1	-15 37 00	 2360	 OC	 13.0	 7.2
07 18 24.1	-13 13 00	 2361	D*?	     	
07 18 36.1	-13 12 00	 2359	 Nb	  8.0	
07 18 48.1	-24 57 00	 2362	C+N	  8.0	 4.1
07 20 00.0	-63 04 00	 2381	 Gx	  1.6	
07 20 06.1	-21 56 00	 2367	 OC	  4.0	 7.9
07 20 48.1	-07 34 00	 2364	 OC	     	
07 21 00.1	-10 23 00	 2368	 OC	  5.0	12.0
07 21 18.0	-69 00 00	 2397	 Gx	  2.2	13.0
07 22 30.1	+22 04 00	 2365	 Gx	     	14.0
07 22 42.1	+21 32 00	I2186	   	     	
07 22 42.1	+21 29 00	I2187	   	     	
07 22 42.1	+21 30 00	I2188	   	     	
07 23 12.1	+32 30 00	I2185	 Gx	  0.5	15.0
07 23 30.0	+46 05 00	I 470	   	     	
07 23 54.1	-27 31 00	 2380	 Gx	     	13.0
07 23 54.1	-27 32 00	 2382	   	     	
07 24 00.1	-13 16 00	 2374	 OC	 19.0	 8.0
07 24 48.1	-20 56 00	 2383	 OC	  6.0	 8.4
07 24 54.1	-09 40 00	 2377	 Gx	  1.8	15.0
07 25 00.1	+23 47 00	 2370	 Gx	     	14.0
07 25 00.1	+08 55 00	I2189	   	     	
07 25 06.1	-21 02 00	 2384	 OC	  3.0	 7.4
07 25 36.1	+29 29 00	 2371	 Pl	  0.9	13.0
07 25 36.1	+29 30 00	 2372	 Pl	     	
07 26 30.1	+33 48 00	 2373	 Gx	     	14.0
07 26 36.1	+23 04 00	 2376	 Gx	     	14.0
07 26 59.8	+85 45 00	 2276	 Gx	  2.6	11.4
07 27 05.9	+80 11 00	 2336	 Gx	  6.9	10.5
07 27 06.1	+33 49 00	 2375	 Gx	     	14.0
07 27 06.1	+13 35 00	 2395	 OC	 12.0	 8.0
07 27 24.1	+33 50 00	 2378	  -	     	
07 27 24.1	+33 49 00	 2379	 Gx	  1.1	13.5
07 27 54.0	-67 34 00	I2202	 Gx	  2.1	
07 28 06.1	-11 44 00	 2396	 OC	 10.0	 7.0
07 28 18.0	-62 22 00	I2200	 Gx	  1.1	
07 28 24.1	+33 50 00	 2385	 Gx	     	15.0
07 28 24.0	-51 15 00	I2195	   	     	
07 28 36.1	+33 46 00	 2386	***	     	
07 28 36.1	+07 02 00	 2394	  -	     	
07 28 42.0	+69 04 00	 2363	 Gx	     	
07 28 48.1	+33 49 00	 2388	 Gx	     	14.0
07 28 54.0	+69 13 00	 2366	 Gx	  7.6	10.9
07 29 00.0	+36 52 00	 2387	 Gx	     	15.0
07 29 00.1	+33 50 00	 2390	  *	     	
07 29 06.1	+33 51 00	 2389	 Gx	  2.1	12.8
07 29 12.1	+33 49 00	 2391	  -	     	
07 29 12.1	+20 55 00	 2392	 Pl	  0.7	10.0
07 29 24.1	-13 58 00	 2401	 OC	  2.0	13.0
07 29 24.0	+72 08 00	I2184	 Gx	  1.3	
07 29 54.1	-00 13 00	 2399	***	     	
07 29 54.0	+37 31 00	I2190	   	     	
07 30 00.1	+34 01 00	 2393	 Gx	     	15.0
07 30 00.1	-00 13 00	 2400	***	     	
07 30 00.0	+79 52 00	I 467	 Gx	  3.5	12.0
07 30 06.0	-62 15 00	 2417	 Gx	  2.2	
07 30 18.1	+24 29 00	 2398	 Gx	     	15.0
07 30 18.1	+24 18 00	I2191	 Gx	  0.7	15.0
07 30 48.1	+09 39 00	 2402	 Gx	     	15.0
07 31 36.1	-17 11 00	 2409	  -	     	
07 31 54.1	+18 18 00	 2406	 Gx	     	15.0
07 31 54.1	+18 21 00	 2407	 Gx	     	15.0
07 31 59.8	+85 43 00	 2300	 Gx	  3.1	11.0
07 32 12.1	+25 55 00	 2405	 Gx	     	14.0
07 33 18.1	-13 06 00	 2413	  -	     	
07 33 18.1	-15 27 00	 2414	 OC	  4.0	 7.9
07 33 18.1	+31 22 00	I2192	   	     	
07 33 18.1	+31 27 00	I2193	   	     	
07 33 42.1	+31 19 00	I2194	 Gx	  1.0	15.0
07 34 06.1	+31 24 00	I2196	 Gx	  1.5	14.0
07 34 06.1	+23 58 00	I2198	 Gx	     	15.0
07 34 18.1	+31 24 00	I2197	 Gx	  0.5	14.0
07 34 24.1	+08 33 00	 2412	  -	     	
07 34 36.1	+18 17 00	 2411	 Gx	     	14.0
07 34 54.0	-69 17 00	 2434	 Gx	  2.5	11.2
07 34 54.1	+31 13 00	I2199	   	     	
07 34 59.8	+85 33 00	I 455	 Gx	  1.2	14.0
07 35 00.1	+32 50 00	 2410	 Gx	     	14.0
07 35 42.1	+11 37 00	 2416	 Gx	     	14.0
07 36 12.1	+33 07 00	I2201	 Gx	  1.3	15.0
07 36 18.1	-20 37 00	 2421	 OC	 10.0	 8.3
07 36 18.0	-69 32 00	 2443	  -	     	
07 36 24.0	-69 32 00	 2442	 Gx	  6.0	11.0
07 36 30.1	+17 54 00	 2418	 Gx	     	13.0
07 36 30.0	-47 38 00	 2427	 Gx	  5.6	11.6
07 36 36.1	-14 30 00	 2422	 OC	 30.0	 4.4
07 36 54.0	+65 36 00	 2403	 Gx	 17.8	 8.4
07 36 54.1	+35 15 00	 2415	 Gx	  1.0	12.4
07 37 06.0	+65 42 00	 2404	 Kt	     	
07 37 06.1	-13 52 00	 2423	 OC	 19.0	 6.7
07 38 06.0	+38 53 00	 2419	 Gb	  4.1	10.4
07 38 18.1	-14 52 00	 2425	 OC	  3.0	
07 38 30.1	+21 34 00	 2420	 OC	 10.0	 8.3
07 39 12.1	-16 31 00	 2428	  -	     	
07 39 24.1	-16 21 00	 2430	  -	     	
07 40 30.0	+71 39 00	 2408	Ast	     	
07 40 36.1	+34 13 00	I2203	 Gx	  1.2	14.0
07 40 42.0	+39 14 00	 2424	 Gx	  4.0	12.6
07 40 48.1	-31 39 00	 2439	 OC	 10.0	 6.9
07 40 54.1	-19 05 00	 2432	 OC	  8.0	10.0
07 41 12.1	+34 13 00	I2204	 Gx	  1.1	15.0
07 41 48.1	-14 49 00	 2437	 OC	 27.0	 6.1
07 41 48.1	-14 44 00	 2438	 Pl	  1.1	10.0
07 41 54.1	-18 13 00	 2440	 Pl	  0.5	11.0
07 42 24.1	+09 15 00	I 473	   	     	
07 43 00.1	+09 19 00	 2433	 Gx	     	
07 43 12.0	+52 49 00	 2426	 Gx	     	14.0
07 43 36.0	+49 39 00	I 471	 Gx	  0.8	14.0
07 43 42.0	+52 21 00	 2429	 Gx	     	14.0
07 43 48.0	+49 36 00	I 472	 Gx	  1.9	14.0
07 44 12.1	+31 38 00	 2435	 Gx	     	13.0
07 44 36.1	-23 52 00	 2447	 OC	 22.0	 6.2
07 44 36.1	-24 41 00	 2448	  -	     	
07 45 12.0	-71 24 00	 2466	 Gx	  1.5	
07 45 18.0	+53 04 00	 2431	 Gx	     	14.0
07 45 24.0	-37 58 00	 2451	 OC	 45.0	 2.8
07 45 48.1	-34 22 00	I2206	   	     	
07 46 06.0	+52 04 00	 2436	  *	     	
07 46 06.1	+26 29 00	I 474	   	     	
07 46 54.0	+39 02 00	 2444	 Gx	  2.3	12.9
07 46 54.0	+39 01 00	 2445	 Gx	  2.1	13.0
07 46 54.1	+26 53 00	I2205	 Gx	     	15.0
07 47 12.1	+30 31 00	I 475	 Gx	  0.5	15.0
07 47 18.1	+26 55 00	 2449	 Gx	     	14.0
07 47 18.1	+26 57 00	I 476	 Gx	     	15.0
07 47 24.1	-27 20 00	 2452	 Pl	  0.3	13.0
07 47 30.1	+27 00 00	 2450	 Gx	     	15.0
07 47 48.1	-27 14 00	 2453	 OC	  5.0	 8.3
07 48 42.0	+54 36 00	 2446	 Gx	     	14.0
07 49 00.1	-21 18 00	 2455	 OC	  8.0	10.0
07 49 48.1	+33 57 00	I2207	 Gx	  2.0	15.0
07 50 30.1	+16 22 00	 2454	 Gx	     	14.0
07 52 00.1	+09 33 00	 2459	   	     	
07 52 06.1	+23 28 00	I 477	 Gx	     	15.0
07 52 12.0	+73 02 00	 2441	 Gx	  2.2	12.2
07 52 18.0	-38 33 00	 2477	 OC	 27.0	 5.8
07 52 30.1	+27 30 00	I2208	   	     	
07 52 36.1	-26 23 00	 2467	C+N	 16.0	 7.0
07 53 42.1	+26 29 00	I 478	 Gx	     	15.0
07 54 06.0	+55 29 00	 2456	 Gx	     	14.0
07 54 18.1	+04 27 00	 2470	 Gx	  2.2	14.0
07 54 24.1	+27 00 00	I 479	 Gx	     	15.0
07 54 42.0	+55 32 00	 2457	 Gx	     	15.0
07 54 42.1	-15 25 00	 2478	  -	     	
07 54 54.1	-24 18 00	 2482	 OC	 12.0	 7.3
07 55 06.1	-17 43 00	 2479	 OC	  7.0	10.0
07 55 18.1	+26 47 00	I 480	   	     	
07 55 24.0	+56 43 00	 2458	 Gx	     	
07 55 54.1	-27 56 00	 2483	 OC	 10.0	 7.6
07 55 54.0	-52 18 00	 2502	 Gx	  2.1	
07 55 59.8	+85 10 00	I 469	 Gx	  2.3	
07 56 00.0	+56 41 00	 2461	 Gx	     	15.0
07 56 12.1	-30 04 00	 2489	 OC	  8.0	 7.9
07 56 12.0	+60 18 00	I2209	 Gx	  1.1	13.8
07 56 42.0	+56 39 00	 2462	 Gx	     	14.0
07 56 42.0	+39 56 00	 2476	 Gx	     	13.0
07 56 42.1	+07 29 00	 2485	 Gx	     	13.0
07 56 48.0	-59 07 00	I2220	 Nb	     	
07 56 54.0	+60 21 00	 2460	 Gx	  2.9	11.7
07 57 06.0	+56 40 00	 2463	 Gx	     	15.0
07 57 06.0	+56 40 00	I2210	 Gx	     	15.0
07 57 12.0	+56 41 00	 2464	 Gx	  0.4	15.0
07 57 12.1	+23 47 00	 2480	 Gx	     	15.0
07 57 18.1	+23 46 00	 2481	 Gx	     	13.0
07 57 42.0	+56 45 00	 2465	  -	     	
07 57 42.1	+32 34 00	I2211	 Gx	  0.8	14.0
07 57 54.0	+52 51 00	 2474	 Gx	  0.6	14.0
07 57 54.1	+25 09 00	 2486	 Gx	     	14.0
07 58 00.0	+56 22 00	 2468	 Gx	  1.3	15.0
07 58 00.0	+52 51 00	 2475	 Gx	  0.8	14.0
07 58 06.0	+56 41 00	 2469	 Gx	  1.1	13.0
07 58 18.0	+56 45 00	 2471	  *	     	
07 58 18.1	+25 08 00	 2487	 Gx	  2.8	14.0
07 58 18.0	-60 52 00	 2516	 OC	 30.0	 3.8
07 58 24.0	+56 41 00	 2473	  -	     	
07 58 24.1	+07 59 00	 2491	 Gx	     	15.0
07 58 30.1	+37 47 00	 2484	 Gx	  1.6	15.0
07 58 36.0	+56 42 00	 2472	 Gx	     	15.0
07 58 36.1	+08 02 00	 2496	 Gx	     	15.0
07 58 36.1	-14 22 00	 2501	 Gx	     	14.0
07 58 48.1	+07 30 00	 2499	 Gx	     	15.0
07 59 00.1	+24 09 00	I 481	 Gx	  1.1	15.0
07 59 00.1	+32 37 00	I2212	 Gx	  0.5	15.0
07 59 00.1	+27 28 00	I2213	 Gx	  0.7	15.0
07 59 12.1	+27 05 00	 2490	 Gx	     	15.0
07 59 12.1	-00 38 00	 2494	 Gx	     	14.0
07 59 12.1	-00 40 00	I 487	   	     	
07 59 24.1	+27 02 00	 2492	 Gx	     	14.0
07 59 30.1	+05 36 00	I2216	   	     	
07 59 36.1	+24 58 00	 2498	 Gx	     	14.0
